jhave@jhave-Ubuntu:~$ cd Documents/Github/pytorch-poetry-generation/word_language_model/
jhave@jhave-Ubuntu:~/Documents/Github/pytorch-poetry-generation/word_language_model$ python main_May2017.py --cuda --data=data/ohhla
INITIALIZING Directory: models/2017-05-01T09-51-48

Training batch size: 20
Test and validation batch size: 10

Data folder: data/ohhla
Model folder: models/2017-05-01T09-51-48

Size of word embeddings: 200
Number of hidden units per layer: 200
Model: LSTM
Number of layers: 2
Batch size: 20
Dropout: 0.2

=============================================

# of tokens in dictionary: 654390
Using : nn.CrossEntropyLoss()
THCudaCheck FAIL file=/py/conda-bld/pytorch_1493435862418/work/torch/lib/THC/generic/THCStorage.cu line=66 error=2 : out of memory
Traceback (most recent call last):
  File "main_May2017.py", line 195, in <module>
    train()
  File "main_May2017.py", line 168, in train
    loss.backward()
  File "/home/jhave/anaconda3/lib/python3.6/site-packages/torch/autograd/variable.py", line 146, in backward
    self._execution_engine.run_backward((self,), (gradient,), retain_variables)
  File "/home/jhave/anaconda3/lib/python3.6/site-packages/torch/nn/_functions/thnn/auto.py", line 171, in backward
    grad_input = input.new().resize_as_(input)
RuntimeError: cuda runtime error (2) : out of memory at /py/conda-bld/pytorch_1493435862418/work/torch/lib/THC/generic/THCStorage.cu:66
jhave@jhave-Ubuntu:~/Documents/Github/pytorch-poetry-generation/word_language_model$ python main_May2017.py --cuda --data=data/2017 --emsize=2048 --nhid=512 --batch_size=20
INITIALIZING Directory: models/2017-05-01T09-55-07

Training batch size: 20
Test and validation batch size: 10

Data folder: data/2017
Model folder: models/2017-05-01T09-55-07

Size of word embeddings: 2048
Number of hidden units per layer: 512
Model: LSTM
Number of layers: 2
Batch size: 20
Dropout: 0.2

=============================================

# of tokens in dictionary: 264307
Using : nn.CrossEntropyLoss()
| epoch   2 |  2800/ 5398 batches | lr 20.00 | ms/batch 344.15 | loss  5.90 | ppl   363.79
| epoch   2 |  3000/ 5398 batches | lr 20.00 | ms/batch 346.37 | loss  5.89 | ppl   362.69
| epoch   2 |  3200/ 5398 batches | lr 20.00 | ms/batch 345.15 | loss  5.86 | ppl   350.18
| epoch   2 |  3400/ 5398 batches | lr 20.00 | ms/batch 346.31 | loss  5.86 | ppl   351.62
| epoch   2 |  3600/ 5398 batches | lr 20.00 | ms/batch 345.76 | loss  5.75 | ppl   313.60
| epoch   2 |  3800/ 5398 batches | lr 20.00 | ms/batch 346.06 | loss  5.79 | ppl   325.54
| epoch   2 |  4000/ 5398 batches | lr 20.00 | ms/batch 346.34 | loss  5.76 | ppl   317.42
| epoch   2 |  4200/ 5398 batches | lr 20.00 | ms/batch 346.34 | loss  5.80 | ppl   331.60
| epoch   2 |  4400/ 5398 batches | lr 20.00 | ms/batch 346.65 | loss  5.93 | ppl   375.83
| epoch   2 |  4600/ 5398 batches | lr 20.00 | ms/batch 346.77 | loss  5.83 | ppl   338.98
| epoch   2 |  4800/ 5398 batches | lr 20.00 | ms/batch 345.34 | loss  5.86 | ppl   350.46
| epoch   2 |  5000/ 5398 batches | lr 20.00 | ms/batch 345.60 | loss  5.80 | ppl   330.84
| epoch   2 |  5200/ 5398 batches | lr 20.00 | ms/batch 346.66 | loss  5.67 | ppl   289.82
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 1925.85s | valid loss 6.1620 | valid ppl   474.39
SAVING: models/2017-05-01T09-55-07/model-LSTM-emsize-2048-nhid_512-nlayers_2-batch_size_20-epoch_2-loss_6.16-ppl_474.39.pt
| epoch   3 |   200/ 5398 batches | lr 20.00 | ms/batch 343.24 | loss  5.73 | ppl   306.48
