jhave@jhave-Ubuntu:~/Documents/Github/pytorch-poetry-generation/word_language_model$ python main_pf.py --cuda --model=LSTM --emsize=500 --nhid=500 --nlayers=5
| epoch   2 |  3600/ 7591 batches | lr 20.00 | ms/batch 115.09 | loss  6.16 | ppl   472.01
| epoch   2 |  3800/ 7591 batches | lr 20.00 | ms/batch 115.70 | loss  5.94 | ppl   380.02
| epoch   2 |  4000/ 7591 batches | lr 20.00 | ms/batch 114.77 | loss  5.95 | ppl   383.45
| epoch   2 |  4200/ 7591 batches | lr 20.00 | ms/batch 116.19 | loss  6.01 | ppl   408.52
| epoch   2 |  4400/ 7591 batches | lr 20.00 | ms/batch 113.47 | loss  6.04 | ppl   418.99
| epoch   2 |  4600/ 7591 batches | lr 20.00 | ms/batch 116.51 | loss  5.79 | ppl   325.67
| epoch   2 |  4800/ 7591 batches | lr 20.00 | ms/batch 114.11 | loss  5.88 | ppl   359.39
| epoch   2 |  5000/ 7591 batches | lr 20.00 | ms/batch 117.61 | loss  5.89 | ppl   360.14
| epoch   2 |  5200/ 7591 batches | lr 20.00 | ms/batch 117.10 | loss  5.82 | ppl   337.43
| epoch   2 |  5400/ 7591 batches | lr 20.00 | ms/batch 115.06 | loss  5.91 | ppl   366.99
| epoch   2 |  5600/ 7591 batches | lr 20.00 | ms/batch 114.05 | loss  5.90 | ppl   366.42
| epoch   2 |  5800/ 7591 batches | lr 20.00 | ms/batch 114.51 | loss  5.84 | ppl   342.18
| epoch   2 |  6000/ 7591 batches | lr 20.00 | ms/batch 115.89 | loss  5.78 | ppl   323.99
| epoch   2 |  6200/ 7591 batches | lr 20.00 | ms/batch 116.04 | loss  5.94 | ppl   378.92
| epoch   2 |  6400/ 7591 batches | lr 20.00 | ms/batch 113.69 | loss  5.80 | ppl   330.07
| epoch   2 |  6600/ 7591 batches | lr 20.00 | ms/batch 115.52 | loss  5.88 | ppl   358.26
| epoch   2 |  6800/ 7591 batches | lr 20.00 | ms/batch 114.42 | loss  5.92 | ppl   372.24
| epoch   2 |  7000/ 7591 batches | lr 20.00 | ms/batch 113.29 | loss  5.92 | ppl   371.31
| epoch   2 |  7200/ 7591 batches | lr 20.00 | ms/batch 113.65 | loss  5.88 | ppl   358.35
| epoch   2 |  7400/ 7591 batches | lr 20.00 | ms/batch 113.79 | loss  6.01 | ppl   409.33
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 896.64s | valid loss  5.99 | valid ppl   398.48
-----------------------------------------------------------------------------------------
SAVING: models/2017-02-07T13-11-19/model-LSTM-emsize-500-nhid_500-nlayers_5-epoch_2-loss_5.99-ppl_398.48.pt
| epoch   3 |   200/ 7591 batches | lr 20.00 | ms/batch 114.79 | loss  5.83 | ppl   339.59
| epoch   3 |   400/ 7591 batches | lr 20.00 | ms/batch 114.94 | loss  5.81 | ppl   332.82
| epoch   3 |   600/ 7591 batches | lr 20.00 | ms/batch 113.59 | loss  5.89 | ppl   359.97
| epoch   3 |   800/ 7591 batches | lr 20.00 | ms/batch 114.17 | loss  5.80 | ppl   331.88
| epoch   3 |  1000/ 7591 batches | lr 20.00 | ms/batch 113.61 | loss  5.83 | ppl   339.01
| epoch   3 |  1200/ 7591 batches | lr 20.00 | ms/batch 114.49 | loss  5.83 | ppl   341.64
| epoch   3 |  1400/ 7591 batches | lr 20.00 | ms/batch 114.49 | loss  5.84 | ppl   342.74
| epoch   3 |  1600/ 7591 batches | lr 20.00 | ms/batch 113.65 | loss  5.90 | ppl   364.32
| epoch   3 |  1800/ 7591 batches | lr 20.00 | ms/batch 115.55 | loss  5.95 | ppl   385.33
| epoch   3 |  2000/ 7591 batches | lr 20.00 | ms/batch 114.23 | loss  5.81 | ppl   332.46
| epoch   3 |  2200/ 7591 batches | lr 20.00 | ms/batch 114.22 | loss  5.74 | ppl   311.81
| epoch   3 |  2400/ 7591 batches | lr 20.00 | ms/batch 116.25 | loss  5.74 | ppl   310.85
| epoch   3 |  2600/ 7591 batches | lr 20.00 | ms/batch 115.05 | loss  5.81 | ppl   334.71
| epoch   3 |  2800/ 7591 batches | lr 20.00 | ms/batch 115.73 | loss  5.71 | ppl   302.19
| epoch   3 |  3000/ 7591 batches | lr 20.00 | ms/batch 115.57 | loss  5.79 | ppl   327.29
| epoch   3 |  3200/ 7591 batches | lr 20.00 | ms/batch 115.16 | loss  5.86 | ppl   350.01
| epoch   3 |  3400/ 7591 batches | lr 20.00 | ms/batch 114.81 | loss  5.72 | ppl   304.71
| epoch   3 |  3600/ 7591 batches | lr 20.00 | ms/batch 114.39 | loss  5.88 | ppl   358.04
| epoch   3 |  3800/ 7591 batches | lr 20.00 | ms/batch 115.53 | loss  5.68 | ppl   291.79
