jhave@jhave-Ubuntu:~/Documents/Github/pytorch-Poetry-Experiments/word_language_model$        main_pf.py --cuda
| epoch   2 |  3600/ 7591 batches | lr 20.00 | ms/batch 58.83 | loss  6.04 | ppl   419.29
| epoch   2 |  3800/ 7591 batches | lr 20.00 | ms/batch 59.21 | loss  5.83 | ppl   340.32
| epoch   2 |  4000/ 7591 batches | lr 20.00 | ms/batch 59.58 | loss  5.85 | ppl   345.59
| epoch   2 |  4200/ 7591 batches | lr 20.00 | ms/batch 58.72 | loss  5.90 | ppl   364.16
| epoch   2 |  4400/ 7591 batches | lr 20.00 | ms/batch 58.12 | loss  5.93 | ppl   375.25
| epoch   2 |  4600/ 7591 batches | lr 20.00 | ms/batch 58.51 | loss  5.68 | ppl   291.83
| epoch   2 |  4800/ 7591 batches | lr 20.00 | ms/batch 58.93 | loss  5.77 | ppl   322.03
| epoch   2 |  5000/ 7591 batches | lr 20.00 | ms/batch 58.21 | loss  5.77 | ppl   322.13
| epoch   2 |  5200/ 7591 batches | lr 20.00 | ms/batch 58.07 | loss  5.72 | ppl   305.98
| epoch   2 |  5400/ 7591 batches | lr 20.00 | ms/batch 58.05 | loss  5.81 | ppl   334.21
| epoch   2 |  5600/ 7591 batches | lr 20.00 | ms/batch 58.05 | loss  5.81 | ppl   333.73
| epoch   2 |  5800/ 7591 batches | lr 20.00 | ms/batch 58.15 | loss  5.75 | ppl   313.53
| epoch   2 |  6000/ 7591 batches | lr 20.00 | ms/batch 58.22 | loss  5.70 | ppl   297.55
| epoch   2 |  6200/ 7591 batches | lr 20.00 | ms/batch 58.22 | loss  5.85 | ppl   346.99
| epoch   2 |  6400/ 7591 batches | lr 20.00 | ms/batch 58.45 | loss  5.71 | ppl   303.34
| epoch   2 |  6600/ 7591 batches | lr 20.00 | ms/batch 58.03 | loss  5.80 | ppl   328.78
| epoch   2 |  6800/ 7591 batches | lr 20.00 | ms/batch 58.18 | loss  5.84 | ppl   342.70
| epoch   2 |  7000/ 7591 batches | lr 20.00 | ms/batch 58.22 | loss  5.84 | ppl   344.77
| epoch   2 |  7200/ 7591 batches | lr 20.00 | ms/batch 58.53 | loss  5.80 | ppl   331.86
| epoch   2 |  7400/ 7591 batches | lr 20.00 | ms/batch 58.58 | loss  5.94 | ppl   379.38
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 457.39s | valid loss  5.93 | valid ppl   374.66
-----------------------------------------------------------------------------------------
SAVING: models/2017-02-06T17-39-04/model-LSTM-epoch_2-loss_5.93-ppl_374.66.pt
| epoch   3 |   200/ 7591 batches | lr 20.00 | ms/batch 58.32 | loss  5.75 | ppl   313.72
| epoch   3 |   400/ 7591 batches | lr 20.00 | ms/batch 57.30 | loss  5.73 | ppl   308.28
| epoch   3 |   600/ 7591 batches | lr 20.00 | ms/batch 57.35 | loss  5.79 | ppl   326.91
| epoch   3 |   800/ 7591 batches | lr 20.00 | ms/batch 59.60 | loss  5.71 | ppl   301.72
| epoch   3 |  1000/ 7591 batches | lr 20.00 | ms/batch 58.76 | loss  5.74 | ppl   312.26
| epoch   3 |  1200/ 7591 batches | lr 20.00 | ms/batch 58.60 | loss  5.74 | ppl   309.57
| epoch   3 |  1400/ 7591 batches | lr 20.00 | ms/batch 58.69 | loss  5.74 | ppl   310.03
| epoch   3 |  1600/ 7591 batches | lr 20.00 | ms/batch 58.36 | loss  5.78 | ppl   324.08
| epoch   3 |  1800/ 7591 batches | lr 20.00 | ms/batch 58.47 | loss  5.84 | ppl   342.99
| epoch   3 |  2000/ 7591 batches | lr 20.00 | ms/batch 58.50 | loss  5.70 | ppl   298.86
| epoch   3 |  2200/ 7591 batches | lr 20.00 | ms/batch 58.50 | loss  5.65 | ppl   284.39
| epoch   3 |  2400/ 7591 batches | lr 20.00 | ms/batch 58.50 | loss  5.65 | ppl   285.70
| epoch   3 |  2600/ 7591 batches | lr 20.00 | ms/batch 58.50 | loss  5.72 | ppl   304.89
| epoch   3 |  2800/ 7591 batches | lr 20.00 | ms/batch 58.44 | loss  5.63 | ppl   280.03
| epoch   3 |  3000/ 7591 batches | lr 20.00 | ms/batch 58.26 | loss  5.70 | ppl   299.36
| epoch   3 |  3200/ 7591 batches | lr 20.00 | ms/batch 58.45 | loss  5.78 | ppl   324.94
| epoch   3 |  3400/ 7591 batches | lr 20.00 | ms/batch 58.51 | loss  5.65 | ppl   284.16
| epoch   3 |  3600/ 7591 batches | lr 20.00 | ms/batch 58.30 | loss  5.82 | ppl   336.18
| epoch   3 |  3800/ 7591 batches | lr 20.00 | ms/batch 58.47 | loss  5.62 | ppl   274.81
| epoch   3 |  4000/ 7591 batches | lr 20.00 | ms/batch 58.31 | loss  5.64 | ppl   281.74
| epoch   3 |  4200/ 7591 batches | lr 20.00 | ms/batch 58.27 | loss  5.69 | ppl   295.07
| epoch   3 |  4400/ 7591 batches | lr 20.00 | ms/batch 58.38 | loss  5.72 | ppl   303.46
| epoch   3 |  4600/ 7591 batches | lr 20.00 | ms/batch 58.52 | loss  5.47 | ppl   237.54
| epoch   3 |  4800/ 7591 batches | lr 20.00 | ms/batch 58.43 | loss  5.58 | ppl   263.98
| epoch   3 |  5000/ 7591 batches | lr 20.00 | ms/batch 58.26 | loss  5.57 | ppl   263.63
| epoch   3 |  5200/ 7591 batches | lr 20.00 | ms/batch 58.49 | loss  5.53 | ppl   252.92
| epoch   3 |  5400/ 7591 batches | lr 20.00 | ms/batch 58.39 | loss  5.61 | ppl   274.40
| epoch   3 |  5600/ 7591 batches | lr 20.00 | ms/batch 58.37 | loss  5.63 | ppl   277.59
| epoch   3 |  5800/ 7591 batches | lr 20.00 | ms/batch 58.46 | loss  5.58 | ppl   264.14
| epoch   3 |  6000/ 7591 batches | lr 20.00 | ms/batch 58.29 | loss  5.52 | ppl   248.69
| epoch   3 |  6200/ 7591 batches | lr 20.00 | ms/batch 58.41 | loss  5.67 | ppl   291.03
| epoch   3 |  6400/ 7591 batches | lr 20.00 | ms/batch 58.50 | loss  5.53 | ppl   253.34
| epoch   3 |  6600/ 7591 batches | lr 20.00 | ms/batch 58.29 | loss  5.62 | ppl   275.15
| epoch   3 |  6800/ 7591 batches | lr 20.00 | ms/batch 58.28 | loss  5.67 | ppl   289.26
| epoch   3 |  7000/ 7591 batches | lr 20.00 | ms/batch 58.29 | loss  5.67 | ppl   290.61
| epoch   3 |  7200/ 7591 batches | lr 20.00 | ms/batch 58.51 | loss  5.63 | ppl   280.02
| epoch   3 |  7400/ 7591 batches | lr 20.00 | ms/batch 58.84 | loss  5.76 | ppl   316.48
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 456.29s | valid loss  5.92 | valid ppl   370.61
-----------------------------------------------------------------------------------------
SAVING: models/2017-02-06T17-39-04/model-LSTM-epoch_3-loss_5.92-ppl_370.61.pt
| epoch   4 |   200/ 7591 batches | lr 20.00 | ms/batch 57.47 | loss  5.58 | ppl   265.78
| epoch   4 |   400/ 7591 batches | lr 20.00 | ms/batch 57.10 | loss  5.56 | ppl   260.18
| epoch   4 |   600/ 7591 batches | lr 20.00 | ms/batch 57.62 | loss  5.62 | ppl   275.06
| epoch   4 |   800/ 7591 batches | lr 20.00 | ms/batch 58.99 | loss  5.54 | ppl   253.61
| epoch   4 |  1000/ 7591 batches | lr 20.00 | ms/batch 58.73 | loss  5.58 | ppl   263.87
| epoch   4 |  1200/ 7591 batches | lr 20.00 | ms/batch 58.65 | loss  5.59 | ppl   266.79
| epoch   4 |  1400/ 7591 batches | lr 20.00 | ms/batch 58.66 | loss  5.58 | ppl   266.32
| epoch   4 |  1600/ 7591 batches | lr 20.00 | ms/batch 58.67 | loss  5.62 | ppl   275.86
| epoch   4 |  1800/ 7591 batches | lr 20.00 | ms/batch 58.67 | loss  5.68 | ppl   292.71
| epoch   4 |  2000/ 7591 batches | lr 20.00 | ms/batch 58.65 | loss  5.56 | ppl   259.23
| epoch   4 |  2200/ 7591 batches | lr 20.00 | ms/batch 58.67 | loss  5.51 | ppl   246.58
| epoch   4 |  2400/ 7591 batches | lr 20.00 | ms/batch 58.66 | loss  5.52 | ppl   250.39
| epoch   4 |  2600/ 7591 batches | lr 20.00 | ms/batch 58.65 | loss  5.58 | ppl   265.98
| epoch   4 |  2800/ 7591 batches | lr 20.00 | ms/batch 58.26 | loss  5.50 | ppl   245.85
| epoch   4 |  3000/ 7591 batches | lr 20.00 | ms/batch 58.51 | loss  5.57 | ppl   262.06
| epoch   4 |  3200/ 7591 batches | lr 20.00 | ms/batch 58.54 | loss  5.65 | ppl   284.48
| epoch   4 |  3400/ 7591 batches | lr 20.00 | ms/batch 58.54 | loss  5.52 | ppl   250.78
| epoch   4 |  3600/ 7591 batches | lr 20.00 | ms/batch 58.54 | loss  5.67 | ppl   291.25
| epoch   4 |  3800/ 7591 batches | lr 20.00 | ms/batch 58.42 | loss  5.50 | ppl   243.85
| epoch   4 |  4000/ 7591 batches | lr 20.00 | ms/batch 59.18 | loss  5.52 | ppl   249.44
| epoch   4 |  4200/ 7591 batches | lr 20.00 | ms/batch 58.95 | loss  5.56 | ppl   259.52
| epoch   4 |  4400/ 7591 batches | lr 20.00 | ms/batch 59.52 | loss  5.58 | ppl   266.26
| epoch   4 |  4600/ 7591 batches | lr 20.00 | ms/batch 59.00 | loss  5.35 | ppl   210.28
| epoch   4 |  4800/ 7591 batches | lr 20.00 | ms/batch 58.46 | loss  5.45 | ppl   231.66
| epoch   4 |  5000/ 7591 batches | lr 20.00 | ms/batch 58.49 | loss  5.45 | ppl   231.93
| epoch   4 |  5200/ 7591 batches | lr 20.00 | ms/batch 58.46 | loss  5.41 | ppl   223.87
| epoch   4 |  5400/ 7591 batches | lr 20.00 | ms/batch 58.58 | loss  5.49 | ppl   242.34
| epoch   4 |  5600/ 7591 batches | lr 20.00 | ms/batch 58.35 | loss  5.50 | ppl   244.73
| epoch   4 |  5800/ 7591 batches | lr 20.00 | ms/batch 58.37 | loss  5.46 | ppl   234.05
| epoch   4 |  6000/ 7591 batches | lr 20.00 | ms/batch 58.56 | loss  5.40 | ppl   221.74
| epoch   4 |  6200/ 7591 batches | lr 20.00 | ms/batch 58.55 | loss  5.55 | ppl   257.60
| epoch   4 |  6400/ 7591 batches | lr 20.00 | ms/batch 58.37 | loss  5.41 | ppl   224.52
| epoch   4 |  6600/ 7591 batches | lr 20.00 | ms/batch 58.36 | loss  5.49 | ppl   243.14
| epoch   4 |  6800/ 7591 batches | lr 20.00 | ms/batch 58.38 | loss  5.55 | ppl   257.43
| epoch   4 |  7000/ 7591 batches | lr 20.00 | ms/batch 58.48 | loss  5.56 | ppl   258.64
| epoch   4 |  7200/ 7591 batches | lr 20.00 | ms/batch 58.37 | loss  5.52 | ppl   249.82
| epoch   4 |  7400/ 7591 batches | lr 20.00 | ms/batch 58.36 | loss  5.63 | ppl   277.87
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 457.02s | valid loss  5.91 | valid ppl   369.32
-----------------------------------------------------------------------------------------
SAVING: models/2017-02-06T17-39-04/model-LSTM-epoch_4-loss_5.91-ppl_369.32.pt
| epoch   5 |   200/ 7591 batches | lr 20.00 | ms/batch 57.68 | loss  5.48 | ppl   238.75
| epoch   5 |   400/ 7591 batches | lr 20.00 | ms/batch 58.22 | loss  5.45 | ppl   232.84
| epoch   5 |   600/ 7591 batches | lr 20.00 | ms/batch 58.39 | loss  5.50 | ppl   243.74
| epoch   5 |   800/ 7591 batches | lr 20.00 | ms/batch 58.30 | loss  5.42 | ppl   226.11
| epoch   5 |  1000/ 7591 batches | lr 20.00 | ms/batch 58.27 | loss  5.47 | ppl   237.22
| epoch   5 |  1200/ 7591 batches | lr 20.00 | ms/batch 58.28 | loss  5.48 | ppl   240.62
| epoch   5 |  1400/ 7591 batches | lr 20.00 | ms/batch 58.26 | loss  5.48 | ppl   240.83
| epoch   5 |  1600/ 7591 batches | lr 20.00 | ms/batch 58.28 | loss  5.51 | ppl   246.77
| epoch   5 |  1800/ 7591 batches | lr 20.00 | ms/batch 58.27 | loss  5.58 | ppl   264.39
| epoch   5 |  2000/ 7591 batches | lr 20.00 | ms/batch 58.28 | loss  5.45 | ppl   233.88
| epoch   5 |  2200/ 7591 batches | lr 20.00 | ms/batch 58.28 | loss  5.42 | ppl   225.34
| epoch   5 |  2400/ 7591 batches | lr 20.00 | ms/batch 58.28 | loss  5.43 | ppl   227.72
| epoch   5 |  2600/ 7591 batches | lr 20.00 | ms/batch 58.27 | loss  5.49 | ppl   242.63
| epoch   5 |  2800/ 7591 batches | lr 20.00 | ms/batch 58.27 | loss  5.41 | ppl   223.80
| epoch   5 |  3000/ 7591 batches | lr 20.00 | ms/batch 58.25 | loss  5.47 | ppl   238.63
| epoch   5 |  3200/ 7591 batches | lr 20.00 | ms/batch 58.13 | loss  5.55 | ppl   257.11
| epoch   5 |  3400/ 7591 batches | lr 20.00 | ms/batch 58.18 | loss  5.44 | ppl   229.31
| epoch   5 |  3600/ 7591 batches | lr 20.00 | ms/batch 58.20 | loss  5.59 | ppl   266.42
| epoch   5 |  3800/ 7591 batches | lr 20.00 | ms/batch 58.18 | loss  5.41 | ppl   224.00
| epoch   5 |  4000/ 7591 batches | lr 20.00 | ms/batch 58.13 | loss  5.43 | ppl   227.01
| epoch   5 |  4200/ 7591 batches | lr 20.00 | ms/batch 58.01 | loss  5.46 | ppl   234.21
| epoch   5 |  4400/ 7591 batches | lr 20.00 | ms/batch 58.20 | loss  5.49 | ppl   242.58
| epoch   5 |  4600/ 7591 batches | lr 20.00 | ms/batch 58.17 | loss  5.26 | ppl   192.95
| epoch   5 |  4800/ 7591 batches | lr 20.00 | ms/batch 58.21 | loss  5.36 | ppl   212.67
| epoch   5 |  5000/ 7591 batches | lr 20.00 | ms/batch 58.19 | loss  5.36 | ppl   211.75
| epoch   5 |  5200/ 7591 batches | lr 20.00 | ms/batch 58.00 | loss  5.33 | ppl   207.27
| epoch   5 |  5400/ 7591 batches | lr 20.00 | ms/batch 58.15 | loss  5.40 | ppl   221.18
| epoch   5 |  5600/ 7591 batches | lr 20.00 | ms/batch 58.21 | loss  5.41 | ppl   224.75
| epoch   5 |  5800/ 7591 batches | lr 20.00 | ms/batch 58.16 | loss  5.38 | ppl   217.62
| epoch   5 |  6000/ 7591 batches | lr 20.00 | ms/batch 58.18 | loss  5.32 | ppl   205.26
| epoch   5 |  6200/ 7591 batches | lr 20.00 | ms/batch 58.17 | loss  5.48 | ppl   239.16
| epoch   5 |  6400/ 7591 batches | lr 20.00 | ms/batch 58.22 | loss  5.34 | ppl   208.71
| epoch   5 |  6600/ 7591 batches | lr 20.00 | ms/batch 58.03 | loss  5.41 | ppl   223.99
| epoch   5 |  6800/ 7591 batches | lr 20.00 | ms/batch 58.00 | loss  5.47 | ppl   236.97
| epoch   5 |  7000/ 7591 batches | lr 20.00 | ms/batch 58.65 | loss  5.47 | ppl   238.47
| epoch   5 |  7200/ 7591 batches | lr 20.00 | ms/batch 60.47 | loss  5.44 | ppl   229.67
| epoch   5 |  7400/ 7591 batches | lr 20.00 | ms/batch 58.01 | loss  5.53 | ppl   253.26
-----------------------------------------------------------------------------------------
| end of epoch   5 | time: 455.10s | valid loss  5.94 | valid ppl   378.70
-----------------------------------------------------------------------------------------
SAVING: models/2017-02-06T17-39-04/model-LSTM-epoch_5-loss_5.94-ppl_378.70.pt
| epoch   6 |   200/ 7591 batches | lr 5.00 | ms/batch 57.52 | loss  5.40 | ppl   221.97
| epoch   6 |   400/ 7591 batches | lr 5.00 | ms/batch 58.17 | loss  5.35 | ppl   210.17
| epoch   6 |   600/ 7591 batches | lr 5.00 | ms/batch 58.30 | loss  5.38 | ppl   217.51
| epoch   6 |   800/ 7591 batches | lr 5.00 | ms/batch 58.12 | loss  5.28 | ppl   197.12
| epoch   6 |  1000/ 7591 batches | lr 5.00 | ms/batch 58.05 | loss  5.31 | ppl   202.96
| epoch   6 |  1200/ 7591 batches | lr 5.00 | ms/batch 58.08 | loss  5.33 | ppl   207.26
| epoch   6 |  1400/ 7591 batches | lr 5.00 | ms/batch 58.29 | loss  5.31 | ppl   203.18
| epoch   6 |  1600/ 7591 batches | lr 5.00 | ms/batch 58.18 | loss  5.32 | ppl   204.12
| epoch   6 |  1800/ 7591 batches | lr 5.00 | ms/batch 58.05 | loss  5.36 | ppl   213.60
| epoch   6 |  2000/ 7591 batches | lr 5.00 | ms/batch 58.05 | loss  5.26 | ppl   192.77
| epoch   6 |  2200/ 7591 batches | lr 5.00 | ms/batch 58.05 | loss  5.22 | ppl   184.77
| epoch   6 |  2400/ 7591 batches | lr 5.00 | ms/batch 58.05 | loss  5.22 | ppl   185.10
| epoch   6 |  2600/ 7591 batches | lr 5.00 | ms/batch 58.07 | loss  5.27 | ppl   195.22
| epoch   6 |  2800/ 7591 batches | lr 5.00 | ms/batch 58.06 | loss  5.19 | ppl   179.19
| epoch   6 |  3000/ 7591 batches | lr 5.00 | ms/batch 58.05 | loss  5.23 | ppl   185.88
| epoch   6 |  3200/ 7591 batches | lr 5.00 | ms/batch 58.05 | loss  5.30 | ppl   200.67
| epoch   6 |  3400/ 7591 batches | lr 5.00 | ms/batch 58.06 | loss  5.19 | ppl   180.14
| epoch   6 |  3600/ 7591 batches | lr 5.00 | ms/batch 58.07 | loss  5.29 | ppl   199.26
| epoch   6 |  3800/ 7591 batches | lr 5.00 | ms/batch 58.06 | loss  5.14 | ppl   170.31
| epoch   6 |  4000/ 7591 batches | lr 5.00 | ms/batch 58.07 | loss  5.15 | ppl   172.11
| epoch   6 |  4200/ 7591 batches | lr 5.00 | ms/batch 58.05 | loss  5.15 | ppl   173.09
| epoch   6 |  4400/ 7591 batches | lr 5.00 | ms/batch 58.06 | loss  5.17 | ppl   176.17
| epoch   6 |  4600/ 7591 batches | lr 5.00 | ms/batch 58.07 | loss  4.94 | ppl   139.76
| epoch   6 |  4800/ 7591 batches | lr 5.00 | ms/batch 58.25 | loss  5.04 | ppl   153.86
| epoch   6 |  5000/ 7591 batches | lr 5.00 | ms/batch 57.82 | loss  5.00 | ppl   148.75
| epoch   6 |  5200/ 7591 batches | lr 5.00 | ms/batch 58.26 | loss  4.99 | ppl   146.33
| epoch   6 |  5400/ 7591 batches | lr 5.00 | ms/batch 58.20 | loss  5.03 | ppl   152.77
| epoch   6 |  5600/ 7591 batches | lr 5.00 | ms/batch 57.78 | loss  5.04 | ppl   154.45
| epoch   6 |  5800/ 7591 batches | lr 5.00 | ms/batch 58.24 | loss  5.01 | ppl   150.14
| epoch   6 |  6000/ 7591 batches | lr 5.00 | ms/batch 58.07 | loss  4.94 | ppl   139.98
| epoch   6 |  6200/ 7591 batches | lr 5.00 | ms/batch 58.05 | loss  5.06 | ppl   158.12
| epoch   6 |  6400/ 7591 batches | lr 5.00 | ms/batch 58.20 | loss  4.94 | ppl   139.33
| epoch   6 |  6600/ 7591 batches | lr 5.00 | ms/batch 58.00 | loss  4.98 | ppl   144.76
| epoch   6 |  6800/ 7591 batches | lr 5.00 | ms/batch 57.88 | loss  5.03 | ppl   152.99
| epoch   6 |  7000/ 7591 batches | lr 5.00 | ms/batch 57.88 | loss  5.03 | ppl   152.62
| epoch   6 |  7200/ 7591 batches | lr 5.00 | ms/batch 57.87 | loss  4.98 | ppl   145.91
| epoch   6 |  7400/ 7591 batches | lr 5.00 | ms/batch 57.88 | loss  5.03 | ppl   153.59
-----------------------------------------------------------------------------------------
| end of epoch   6 | time: 453.63s | valid loss  5.83 | valid ppl   340.08
-----------------------------------------------------------------------------------------
SAVING: models/2017-02-06T17-39-04/model-LSTM-epoch_6-loss_5.83-ppl_340.08.pt
| epoch   7 |   200/ 7591 batches | lr 5.00 | ms/batch 57.57 | loss  5.17 | ppl   176.57
| epoch   7 |   400/ 7591 batches | lr 5.00 | ms/batch 57.19 | loss  5.12 | ppl   168.15
| epoch   7 |   600/ 7591 batches | lr 5.00 | ms/batch 57.19 | loss  5.16 | ppl   173.46
| epoch   7 |   800/ 7591 batches | lr 5.00 | ms/batch 58.57 | loss  5.07 | ppl   159.17
| epoch   7 |  1000/ 7591 batches | lr 5.00 | ms/batch 58.83 | loss  5.11 | ppl   164.98
| epoch   7 |  1200/ 7591 batches | lr 5.00 | ms/batch 58.70 | loss  5.13 | ppl   169.08
| epoch   7 |  1400/ 7591 batches | lr 5.00 | ms/batch 58.35 | loss  5.12 | ppl   167.44
| epoch   7 |  1600/ 7591 batches | lr 5.00 | ms/batch 58.58 | loss  5.12 | ppl   167.73
| epoch   7 |  1800/ 7591 batches | lr 5.00 | ms/batch 58.82 | loss  5.17 | ppl   176.46
| epoch   7 |  2000/ 7591 batches | lr 5.00 | ms/batch 58.45 | loss  5.07 | ppl   159.92
| epoch   7 |  2200/ 7591 batches | lr 5.00 | ms/batch 58.28 | loss  5.04 | ppl   154.54
| epoch   7 |  2400/ 7591 batches | lr 5.00 | ms/batch 58.62 | loss  5.05 | ppl   156.19
| epoch   7 |  2600/ 7591 batches | lr 5.00 | ms/batch 58.62 | loss  5.10 | ppl   163.76
| epoch   7 |  2800/ 7591 batches | lr 5.00 | ms/batch 58.40 | loss  5.02 | ppl   151.15
| epoch   7 |  3000/ 7591 batches | lr 5.00 | ms/batch 58.46 | loss  5.06 | ppl   156.90
| epoch   7 |  3200/ 7591 batches | lr 5.00 | ms/batch 58.56 | loss  5.13 | ppl   168.75
| epoch   7 |  3400/ 7591 batches | lr 5.00 | ms/batch 58.35 | loss  5.03 | ppl   152.56
